hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:29:16.305607,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:17.295959,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:18.316232,"[168, 170, 170, 168]","[356, 352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:19.305588,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:20.295940,"[170, 170, 172]","[352, 352, 348]",Contact detected,True,166
True,False,2024-08-12 17:29:21.316216,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:22.335488,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:23.326260,"[168, 168, 170]","[356, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:24.315617,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:25.305968,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:26.326241,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:27.316595,"[170, 168, 168]","[352, 356, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:28.305949,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:29.296303,"[168, 170]","[356, 352]",Contact detected,True,165
True,False,2024-08-12 17:29:30.315580,"[168, 168, 168]","[356, 356, 356]",Contact detected,True,165
True,False,2024-08-12 17:29:31.305930,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,165
True,False,2024-08-12 17:29:32.326203,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,165
True,False,2024-08-12 17:29:33.315558,"[168, 170, 168]","[356, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:34.305912,"[168, 168]","[356, 356]",Contact detected,True,165
True,False,2024-08-12 17:29:35.296264,"[170, 170, 172]","[352, 352, 348]",Contact detected,True,165
True,False,2024-08-12 17:29:36.315568,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:37.305892,"[168, 170, 168]","[356, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:29:38.296245,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:39.315520,"[172, 170]","[348, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:40.305873,"[172, 170, 170]","[348, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:41.296228,"[170, 172, 174]","[352, 348, 344]",Contact detected,True,167
True,False,2024-08-12 17:29:42.315501,"[172, 170, 170]","[348, 352, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:43.305854,"[172, 170]","[348, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:44.296210,"[172, 172, 166]","[348, 348, 360]",Contact detected,True,168
True,False,2024-08-12 17:29:45.315483,"[170, 174, 170]","[352, 344, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:46.305835,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:47.296188,"[170, 172, 170]","[352, 348, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:48.315463,"[172, 172]","[348, 348]",Contact detected,True,167
True,False,2024-08-12 17:29:49.305816,"[170, 172, 170]","[352, 348, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:50.296171,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:51.344369,"[172, 168]","[348, 356]",Contact detected,True,167
True,False,2024-08-12 17:29:52.305799,"[170, 172, 170, 172]","[352, 348, 352, 348]",Contact detected,True,167
True,False,2024-08-12 17:29:53.296150,"[170, 170]","[352, 352]",Contact detected,True,167
True,False,2024-08-12 17:29:54.315425,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,167
True,False,2024-08-12 17:29:55.335698,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:56.326050,"[172, 170]","[348, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:57.315406,"[172, 170, 170]","[348, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:58.305759,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:29:59.296112,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:00.315388,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:01.305739,"[172, 170]","[348, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:02.296093,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:03.315368,"[168, 168, 166]","[356, 356, 360]",Contact detected,True,166
True,False,2024-08-12 17:30:04.305721,"[168, 172, 170]","[356, 348, 352]",Contact detected,True,165
True,False,2024-08-12 17:30:05.296074,"[168, 168]","[356, 356]",Contact detected,True,165
True,False,2024-08-12 17:30:06.316350,"[170, 168, 166]","[352, 356, 360]",Contact detected,True,165
True,False,2024-08-12 17:30:07.305701,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,165
True,False,2024-08-12 17:30:08.296055,"[170, 168]","[352, 356]",Contact detected,True,165
True,False,2024-08-12 17:30:09.316328,"[170, 168, 170, 170]","[352, 356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:10.305684,"[168, 168]","[356, 356]",Contact detected,True,166
True,False,2024-08-12 17:30:11.296037,"[168, 172, 170]","[356, 348, 352]",Contact detected,True,165
True,False,2024-08-12 17:30:12.315311,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:13.305664,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:14.296017,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:15.346209,"[168, 168, 170]","[356, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:16.305646,"[170, 172, 170]","[352, 348, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:17.295998,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:18.315272,"[168, 168]","[356, 356]",Contact detected,True,166
True,False,2024-08-12 17:30:19.305626,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:20.295980,"[172, 170, 168]","[348, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:30:21.316251,"[170, 168, 172]","[352, 356, 348]",Contact detected,True,166
True,False,2024-08-12 17:30:22.305606,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:23.295774,"[168, 170, 172]","[356, 352, 348]",Contact detected,True,166
True,False,2024-08-12 17:30:24.315751,"[172, 170, 170]","[348, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:25.306063,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:30:26.296663,"[170, 170, 170, 168]","[352, 352, 352, 356]",Contact detected,True,167
True,False,2024-08-12 17:30:27.345896,"[170, 172]","[352, 348]",Contact detected,True,166
