rr_hr,hrv_uint8,timestamp_received,rr,ee_status,hr,sensor_contact,rr_interval
"[144, 144]",True,2024-06-19 13:42:15.029571,"[415, 414]",False,143,Sensor contact not supported,True
"[145, 144, 144]",True,2024-06-19 13:42:16.026196,"[413, 414, 416]",False,144,Sensor contact not supported,True
"[143, 142]",True,2024-06-19 13:42:17.028648,"[419, 422]",False,144,Sensor contact not supported,True
"[141, 139]",True,2024-06-19 13:42:18.029259,"[425, 429]",False,143,Sensor contact not supported,True
"[138, 137, 136]",True,2024-06-19 13:42:19.022805,"[432, 436, 440]",False,141,Sensor contact not supported,True
"[135, 133]",True,2024-06-19 13:42:20.024358,"[444, 448]",False,139,Sensor contact not supported,True
"[132, 131]",True,2024-06-19 13:42:21.022074,"[452, 456]",False,137,Sensor contact not supported,True
"[130, 129]",True,2024-06-19 13:42:22.019343,"[459, 463]",False,135,Sensor contact not supported,True
"[128, 126]",True,2024-06-19 13:42:23.016752,"[468, 473]",False,133,Sensor contact not supported,True
"[125, 124]",True,2024-06-19 13:42:24.013878,"[477, 482]",False,131,Sensor contact not supported,True
"[123, 121]",True,2024-06-19 13:42:25.011580,"[487, 492]",False,128,Sensor contact not supported,True
"[120, 119]",True,2024-06-19 13:42:26.009214,"[497, 501]",False,126,Sensor contact not supported,True
"[119, 120]",True,2024-06-19 13:42:27.006256,"[504, 500]",False,124,Sensor contact not supported,True
"[121, 122]",True,2024-06-19 13:42:28.003418,"[495, 491]",False,122,Sensor contact not supported,True
"[123, 124]",True,2024-06-19 13:42:29.001478,"[486, 482]",False,122,Sensor contact not supported,True
"[125, 126, 127]",True,2024-06-19 13:42:29.998965,"[479, 475, 472]",False,124,Sensor contact not supported,True
"[127, 128]",True,2024-06-19 13:42:30.997079,"[469, 466]",False,125,Sensor contact not supported,True
"[129, 130]",True,2024-06-19 13:42:31.993533,"[463, 460]",False,126,Sensor contact not supported,True
"[131, 131]",True,2024-06-19 13:42:32.991668,"[458, 456]",False,128,Sensor contact not supported,True
"[132, 133]",True,2024-06-19 13:42:33.988813,"[454, 451]",False,129,Sensor contact not supported,True
"[133, 134, 134]",True,2024-06-19 13:42:34.982898,"[449, 447, 445]",False,131,Sensor contact not supported,True
"[135, 136]",True,2024-06-19 13:42:35.984123,"[443, 441]",False,132,Sensor contact not supported,True
"[136, 136]",True,2024-06-19 13:42:36.981670,"[440, 438]",False,134,Sensor contact not supported,True
"[137, 137, 138]",True,2024-06-19 13:42:37.976257,"[436, 435, 433]",False,135,Sensor contact not supported,True
"[138, 139]",True,2024-06-19 13:42:38.976900,"[432, 430]",False,136,Sensor contact not supported,True
"[139, 140]",True,2024-06-19 13:42:40.970260,"[429, 428]",False,137,Sensor contact not supported,True
"[140, 141, 141]",True,2024-06-19 13:42:40.972501,"[426, 425, 424]",False,139,Sensor contact not supported,True
"[141, 142]",True,2024-06-19 13:42:41.966304,"[423, 422]",False,140,Sensor contact not supported,True
"[142, 143]",True,2024-06-19 13:42:42.966155,"[421, 419]",False,141,Sensor contact not supported,True
"[143, 143, 143]",True,2024-06-19 13:42:43.964006,"[419, 418, 417]",False,142,Sensor contact not supported,True
"[144, 144]",True,2024-06-19 13:42:44.961227,"[416, 416]",False,142,Sensor contact not supported,True
"[144, 144, 145]",True,2024-06-19 13:42:45.958362,"[415, 414, 413]",False,143,Sensor contact not supported,True
"[145, 144]",True,2024-06-19 13:42:46.950229,"[413, 416]",False,144,Sensor contact not supported,True
"[143, 142]",True,2024-06-19 13:42:48.951569,"[418, 421]",False,144,Sensor contact not supported,True
"[141, 140, 139]",True,2024-06-19 13:42:48.953707,"[424, 428, 431]",False,143,Sensor contact not supported,True
"[137, 136]",True,2024-06-19 13:42:49.949576,"[435, 439]",False,141,Sensor contact not supported,True
"[135, 134]",True,2024-06-19 13:42:50.939182,"[442, 446]",False,140,Sensor contact not supported,True
"[133, 132]",True,2024-06-19 13:42:51.944081,"[450, 454]",False,138,Sensor contact not supported,True
"[131, 129]",True,2024-06-19 13:42:52.941720,"[458, 462]",False,136,Sensor contact not supported,True
"[128, 127]",True,2024-06-19 13:42:53.935669,"[467, 471]",False,133,Sensor contact not supported,True
"[126, 124]",True,2024-06-19 13:42:54.934722,"[476, 481]",False,131,Sensor contact not supported,True
"[123, 122]",True,2024-06-19 13:42:55.934034,"[485, 490]",False,129,Sensor contact not supported,True
"[121, 120]",True,2024-06-19 13:42:56.931655,"[495, 500]",False,126,Sensor contact not supported,True
"[119, 120]",True,2024-06-19 13:42:57.926229,"[504, 500]",False,124,Sensor contact not supported,True
"[120, 122]",True,2024-06-19 13:42:58.921095,"[496, 491]",False,123,Sensor contact not supported,True
"[123, 124, 125]",True,2024-06-19 13:42:59.924243,"[487, 483, 480]",False,123,Sensor contact not supported,True
"[126, 126]",True,2024-06-19 13:43:00.918813,"[476, 473]",False,124,Sensor contact not supported,True
"[127, 128]",True,2024-06-19 13:43:01.919283,"[469, 466]",False,125,Sensor contact not supported,True
"[129, 130]",True,2024-06-19 13:43:02.917035,"[463, 461]",False,126,Sensor contact not supported,True
"[131, 131]",True,2024-06-19 13:43:03.913985,"[458, 457]",False,128,Sensor contact not supported,True
"[132, 132, 133]",True,2024-06-19 13:43:04.911404,"[454, 452, 450]",False,130,Sensor contact not supported,True
"[133, 134]",True,2024-06-19 13:43:05.906562,"[448, 445]",False,131,Sensor contact not supported,True
"[135, 135]",True,2024-06-19 13:43:07.903554,"[444, 442]",False,132,Sensor contact not supported,True
"[136, 136]",True,2024-06-19 13:43:07.904649,"[440, 438]",False,134,Sensor contact not supported,True
"[137, 137, 138]",True,2024-06-19 13:43:08.901151,"[437, 435, 433]",False,135,Sensor contact not supported,True
"[138, 139]",True,2024-06-19 13:43:09.898972,"[432, 431]",False,136,Sensor contact not supported,True
"[139, 140]",True,2024-06-19 13:43:10.896344,"[429, 428]",False,137,Sensor contact not supported,True
"[140, 141, 141]",True,2024-06-19 13:43:11.893209,"[427, 425, 424]",False,139,Sensor contact not supported,True
"[141, 142]",True,2024-06-19 13:43:12.891136,"[423, 422]",False,140,Sensor contact not supported,True
"[142, 142, 143]",True,2024-06-19 13:43:13.884588,"[421, 420, 419]",False,141,Sensor contact not supported,True
"[143, 143]",True,2024-06-19 13:43:14.880299,"[418, 417]",False,142,Sensor contact not supported,True
"[144, 144]",True,2024-06-19 13:43:15.878819,"[416, 416]",False,142,Sensor contact not supported,True
"[144, 144, 145]",True,2024-06-19 13:43:16.878875,"[415, 414, 413]",False,143,Sensor contact not supported,True
"[145, 144]",True,2024-06-19 13:43:17.872473,"[413, 416]",False,144,Sensor contact not supported,True
"[143, 142]",True,2024-06-19 13:43:18.873714,"[418, 421]",False,144,Sensor contact not supported,True
"[141, 140, 139]",True,2024-06-19 13:43:19.875196,"[424, 428, 431]",False,143,Sensor contact not supported,True
"[137, 136]",True,2024-06-19 13:43:20.871438,"[435, 438]",False,141,Sensor contact not supported,True
"[135, 134]",True,2024-06-19 13:43:21.868329,"[442, 446]",False,140,Sensor contact not supported,True
"[133, 132]",True,2024-06-19 13:43:22.866030,"[450, 454]",False,138,Sensor contact not supported,True
"[131, 130]",True,2024-06-19 13:43:23.863962,"[458, 461]",False,136,Sensor contact not supported,True
"[128, 127, 126]",True,2024-06-19 13:43:24.855200,"[466, 471, 475]",False,132,Sensor contact not supported,True
"[125, 123]",True,2024-06-19 13:43:25.857541,"[480, 485]",False,130,Sensor contact not supported,True
"[122, 121]",True,2024-06-19 13:43:27.853902,"[490, 494]",False,128,Sensor contact not supported,True
"[120, 119]",True,2024-06-19 13:43:27.855899,"[500, 504]",False,125,Sensor contact not supported,True
"[120, 120]",True,2024-06-19 13:43:28.851116,"[500, 496]",False,123,Sensor contact not supported,True
"[121, 122]",True,2024-06-19 13:43:29.842898,"[492, 488]",False,122,Sensor contact not supported,True
