timestamp_received,rr_hr,hrv_uint8,hr,sensor_contact,ee_status,rr_interval,rr
2024-08-12 12:14:17.455423,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:18.445774,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:19.435129,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:20.455403,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:21.475675,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:22.465031,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:23.455384,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:24.445736,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:25.435091,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:26.455364,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:27.445717,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:28.435072,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:29.455345,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:30.445698,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:31.435053,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:32.454931,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:33.444816,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:34.436098,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:35.455029,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:36.445661,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:37.436064,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:38.456129,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:39.446057,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:40.436097,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:41.455701,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:42.446087,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:43.436053,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:44.638366,[61],True,60,Contact detected,False,True,[973]
2024-08-12 12:14:45.446130,[61],True,60,Contact detected,False,True,[977]
2024-08-12 12:14:46.436033,,True,60,Contact detected,False,False,
