,time,amplitude
654,-0.000359386,-0.4343
655,-0.000359384,-0.4343
656,-0.000359382,-0.4343
657,-0.00035938,-0.4343
658,-0.000359378,-0.4343
659,-0.000359376,-0.4141
660,-0.000359374,-0.4343
661,-0.000359372,-0.4343
662,-0.00035937,-0.4343
663,-0.000359368,-0.4343
664,-0.000359366,-0.4343
665,-0.000359364,-0.4343
666,-0.000359362,-0.4343
667,-0.00035936,-0.4343
668,-0.000359358,-0.4343
669,-0.000359356,-0.4141
670,-0.000359354,-0.4141
671,-0.000359352,-0.4343
672,-0.00035935,-0.4343
673,-0.000359348,-0.4343
674,-0.000359346,-0.4343
675,-0.000359344,-0.4343
676,-0.000359342,-0.4343
677,-0.00035934,-0.4343
678,-0.000359338,-0.4343
679,-0.000359336,-0.4343
680,-0.000359334,-0.4343
681,-0.000359332,-0.4343
682,-0.00035933,-0.4343
683,-0.000359328,-0.4343
684,-0.000359326,-0.4343
685,-0.000359324,-0.4343
686,-0.000359322,-0.4343
687,-0.00035932,-0.4343
688,-0.000359318,-0.4343
689,-0.000359316,-0.4343
690,-0.000359314,-0.4343
691,-0.000359312,-0.4343
692,-0.00035931,-0.4141
693,-0.000359308,-0.4141
694,-0.000359306,-0.4343
695,-0.000359304,-0.4343
696,-0.000359302,-0.4343
697,-0.0003593,-0.4343
698,-0.000359298,-0.4343
699,-0.000359296,-0.4343
700,-0.000359294,-0.4343
701,-0.000359292,-0.4343
702,-0.00035929,-0.4343
703,-0.000359288,-0.4343
704,-0.000359286,-0.4343
705,-0.000359284,-0.4343
706,-0.000359282,-0.4343
707,-0.00035928,-0.4343
708,-0.000359278,-0.4343
709,-0.000359276,-0.4343
710,-0.000359274,-0.4343
711,-0.000359272,-0.4343
712,-0.00035927,-0.4343
713,-0.000359268,-0.4343
714,-0.000359266,-0.4343
715,-0.000359264,-0.4343
716,-0.000359262,-0.4343
717,-0.00035926,-0.4343
718,-0.000359258,-0.4343
719,-0.000359256,-0.4343
720,-0.000359254,-0.4343
721,-0.000359252,-0.4141
722,-0.00035925,-0.4343
723,-0.000359248,-0.4343
724,-0.000359246,-0.4343
725,-0.000359244,-0.4343
726,-0.000359242,-0.4343
727,-0.00035924,-0.4343
728,-0.000359238,-0.4343
729,-0.000359236,-0.4343
730,-0.000359234,-0.4343
731,-0.000359232,-0.4343
732,-0.00035923,-0.4343
733,-0.000359228,-0.4141
734,-0.000359226,-0.4141
735,-0.000359224,-0.4141
736,-0.000359222,-0.4343
737,-0.00035922,-0.4343
738,-0.000359218,-0.4343
739,-0.000359216,-0.4343
740,-0.000359214,-0.4343
741,-0.000359212,-0.4343
742,-0.00035921,-0.4343
743,-0.000359208,-0.4343
744,-0.000359206,-0.4141
745,-0.000359204,-0.4343
746,-0.000359202,-0.4343
747,-0.0003592,-0.4343
748,-0.000359198,-0.4343
749,-0.000359196,-0.4343
750,-0.000359194,-0.4343
751,-0.000359192,-0.4343
752,-0.00035919,-0.4343
753,-0.000359188,-0.4343
754,-0.000359186,-0.4343
755,-0.000359184,-0.4343
756,-0.000359182,-0.4141
757,-0.00035918,-0.4343
758,-0.000359178,-0.4343
759,-0.000359176,-0.4343
760,-0.000359174,-0.4141
761,-0.000359172,-0.4343
762,-0.00035917,-0.4343
763,-0.000359168,-0.4343
764,-0.000359166,-0.4141
765,-0.000359164,-0.4141
766,-0.000359162,-0.4141
767,-0.00035916,-0.4141
768,-0.000359158,-0.4141
769,-0.000359156,-0.4141
770,-0.000359154,-0.4343
771,-0.000359152,-0.4343
772,-0.00035915,-0.4141
773,-0.000359148,-0.4343
774,-0.000359146,-0.4343
775,-0.000359144,-0.4343
776,-0.000359142,-0.4343
777,-0.00035914,-0.4343
778,-0.000359138,-0.4343
779,-0.000359136,-0.4343
780,-0.000359134,-0.4343
781,-0.000359132,-0.4141
782,-0.00035913,-0.4141
783,-0.000359128,-0.4141
784,-0.000359126,-0.4141
785,-0.000359124,-0.4343
786,-0.000359122,-0.4343
787,-0.00035912,-0.4343
788,-0.000359118,-0.4343
789,-0.000359116,-0.4141
790,-0.000359114,-0.4141
791,-0.000359112,-0.4343
792,-0.00035911,-0.4343
793,-0.000359108,-0.4343
794,-0.000359106,-0.4343
795,-0.000359104,-0.4343
796,-0.000359102,-0.4141
797,-0.0003591,-0.4343
798,-0.000359098,-0.4141
799,-0.000359096,-0.4141
800,-0.000359094,-0.4343
801,-0.000359092,-0.4343
802,-0.00035909,-0.4343
803,-0.000359088,-0.4343
804,-0.000359086,-0.4141
805,-0.000359084,-0.4141
806,-0.000359082,-0.4343
807,-0.00035908,-0.4343
808,-0.000359078,-0.4343
809,-0.000359076,-0.4343
810,-0.000359074,-0.4343
811,-0.000359072,-0.4343
812,-0.00035907,-0.4343
813,-0.000359068,-0.4141
814,-0.000359066,-0.4141
815,-0.000359064,-0.4343
816,-0.000359062,-0.4343
817,-0.00035906,-0.4343
818,-0.000359058,-0.4343
819,-0.000359056,-0.4141
820,-0.000359054,-0.4343
821,-0.000359052,-0.4343
822,-0.00035905,-0.4343
823,-0.000359048,-0.4343
824,-0.000359046,-0.4343
825,-0.000359044,-0.4343
826,-0.000359042,-0.4141
827,-0.00035904,-0.4343
828,-0.000359038,-0.4343
829,-0.000359036,-0.4141
830,-0.000359034,-0.4141
831,-0.000359032,-0.4343
832,-0.00035903,-0.4343
833,-0.000359028,-0.4343
834,-0.000359026,-0.4141
835,-0.000359024,-0.4343
836,-0.000359022,-0.4343
837,-0.00035902,-0.4141
838,-0.000359018,-0.4141
839,-0.000359016,-0.4141
840,-0.000359014,-0.4343
841,-0.000359012,-0.4141
842,-0.00035901,-0.4343
843,-0.000359008,-0.4343
844,-0.000359006,-0.4343
845,-0.000359004,-0.4343
846,-0.000359002,-0.4343
847,-0.000359,-0.4141
848,-0.000358998,-0.4343
849,-0.000358996,-0.4343
850,-0.000358994,-0.4343
851,-0.000358992,-0.4343
852,-0.00035899,-0.4343
853,-0.000358988,-0.4343
854,-0.000358986,-0.4343
855,-0.000358984,-0.4343
856,-0.000358982,-0.4343
857,-0.00035898,-0.4343
858,-0.000358978,-0.4343
859,-0.000358976,-0.4141
860,-0.000358974,-0.4141
861,-0.000358972,-0.4343
862,-0.00035897,-0.4343
863,-0.000358968,-0.4343
864,-0.000358966,-0.4343
865,-0.000358964,-0.4343
866,-0.000358962,-0.4343
867,-0.00035896,-0.4343
868,-0.000358958,-0.4343
869,-0.000358956,-0.4141
870,-0.000358954,-0.4141
871,-0.000358952,-0.4343
872,-0.00035895,-0.4141
873,-0.000358948,-0.4343
874,-0.000358946,-0.4343
875,-0.000358944,-0.4343
876,-0.000358942,-0.4141
877,-0.00035894,-0.4343
878,-0.000358938,-0.4343
879,-0.000358936,-0.4343
880,-0.000358934,-0.4343
881,-0.000358932,-0.4343
882,-0.00035893,-0.4343
883,-0.000358928,-0.4343
884,-0.000358926,-0.4343
885,-0.000358924,-0.4343
886,-0.000358922,-0.4343
887,-0.00035892,-0.4343
888,-0.000358918,-0.4343
889,-0.000358916,-0.4343
890,-0.000358914,-0.4343
891,-0.000358912,-0.4343
892,-0.00035891,-0.4343
893,-0.000358908,-0.4343
894,-0.000358906,-0.4343
895,-0.000358904,-0.4343
896,-0.000358902,-0.4343
897,-0.0003589,-0.4141
898,-0.000358898,-0.4343
899,-0.000358896,-0.4343
900,-0.000358894,-0.4343
901,-0.000358892,-0.4141
902,-0.00035889,-0.4343
903,-0.000358888,-0.4343
904,-0.000358886,-0.4141
905,-0.000358884,-0.4141
906,-0.000358882,-0.4141
907,-0.00035888,-0.4343
908,-0.000358878,-0.4343
909,-0.000358876,-0.4343
910,-0.000358874,-0.4343
911,-0.000358872,-0.4343
912,-0.00035887,-0.4141
913,-0.000358868,-0.4141
914,-0.000358866,-0.4141
915,-0.000358864,-0.4141
916,-0.000358862,-0.4141
917,-0.00035886,-0.4141
918,-0.000358858,-0.4141
919,-0.000358856,-0.4141
920,-0.000358854,-0.4343
921,-0.000358852,-0.4343
922,-0.00035885,-0.4343
923,-0.000358848,-0.4343
924,-0.000358846,-0.4343
925,-0.000358844,-0.4141
926,-0.000358842,-0.4343
927,-0.00035884,-0.4343
928,-0.000358838,-0.4343
929,-0.000358836,-0.4343
