rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
"[751, 760]",True,False,Sensor contact not supported,80,"[79, 78]",True,2024-06-19 12:20:51.238226
[753],True,False,Sensor contact not supported,80,[79],True,2024-06-19 12:20:52.233264
[750],True,False,Sensor contact not supported,80,[80],True,2024-06-19 12:20:53.233022
"[766, 753]",True,False,Sensor contact not supported,80,"[78, 79]",True,2024-06-19 12:20:54.225791
[754],True,False,Sensor contact not supported,80,[79],True,2024-06-19 12:20:55.228217
[766],True,False,Sensor contact not supported,80,[78],True,2024-06-19 12:20:56.226007
[761],True,False,Sensor contact not supported,79,[78],True,2024-06-19 12:20:57.222845
"[760, 765]",True,False,Sensor contact not supported,79,"[78, 78]",True,2024-06-19 12:20:58.218860
[758],True,False,Sensor contact not supported,79,[79],True,2024-06-19 12:20:59.211315
[771],True,False,Sensor contact not supported,79,[77],True,2024-06-19 12:21:00.212510
"[786, 792]",True,False,Sensor contact not supported,79,"[76, 75]",True,2024-06-19 12:21:01.209927
[791],True,False,Sensor contact not supported,79,[75],True,2024-06-19 12:21:02.206960
[767],True,False,Sensor contact not supported,78,[78],True,2024-06-19 12:21:03.207424
[766],True,False,Sensor contact not supported,78,[78],True,2024-06-19 12:21:04.201010
"[757, 753]",True,False,Sensor contact not supported,78,"[79, 79]",True,2024-06-19 12:21:05.203157
[766],True,False,Sensor contact not supported,78,[78],True,2024-06-19 12:21:06.199653
[771],True,False,Sensor contact not supported,78,[77],True,2024-06-19 12:21:07.198635
"[786, 786]",True,False,Sensor contact not supported,78,"[76, 76]",True,2024-06-19 12:21:08.189448
[777],True,False,Sensor contact not supported,78,[77],True,2024-06-19 12:21:09.188979
[778],True,False,Sensor contact not supported,78,[77],True,2024-06-19 12:21:10.189446
"[766, 756]",True,False,Sensor contact not supported,78,"[78, 79]",True,2024-06-19 12:21:11.183396
[747],True,False,Sensor contact not supported,78,[80],True,2024-06-19 12:21:12.185553
[745],True,False,Sensor contact not supported,78,[80],True,2024-06-19 12:21:13.181141
"[753, 751]",True,False,Sensor contact not supported,78,"[79, 79]",True,2024-06-19 12:21:14.179316
[757],True,False,Sensor contact not supported,79,[79],True,2024-06-19 12:21:15.177876
[766],True,False,Sensor contact not supported,79,[78],True,2024-06-19 12:21:16.175996
"[747, 729]",True,False,Sensor contact not supported,79,"[80, 82]",True,2024-06-19 12:21:17.171003
[717],True,False,Sensor contact not supported,79,[83],True,2024-06-19 12:21:18.170486
"[710, 707]",True,False,Sensor contact not supported,80,"[84, 84]",True,2024-06-19 12:21:19.168184
[690],True,False,Sensor contact not supported,80,[86],True,2024-06-19 12:21:20.162768
[676],True,False,Sensor contact not supported,81,[88],True,2024-06-19 12:21:21.163091
"[686, 746]",True,False,Sensor contact not supported,82,"[87, 80]",True,2024-06-19 12:21:22.158890
[788],True,False,Sensor contact not supported,82,[76],True,2024-06-19 12:21:23.157190
[757],True,False,Sensor contact not supported,82,[79],True,2024-06-19 12:21:24.149015
"[739, 749]",True,False,Sensor contact not supported,81,"[81, 80]",True,2024-06-19 12:21:25.147056
[746],True,False,Sensor contact not supported,81,[80],True,2024-06-19 12:21:26.151103
"[724, 710]",True,False,Sensor contact not supported,81,"[82, 84]",True,2024-06-19 12:21:27.145902
[701],True,False,Sensor contact not supported,81,[85],True,2024-06-19 12:21:28.139315
[691],True,False,Sensor contact not supported,82,[86],True,2024-06-19 12:21:29.136354
"[683, 692]",True,False,Sensor contact not supported,83,"[87, 86]",True,2024-06-19 12:21:30.141212
[701],True,False,Sensor contact not supported,83,[85],True,2024-06-19 12:21:31.138113
"[695, 684]",True,False,Sensor contact not supported,84,"[86, 87]",True,2024-06-19 12:21:32.130498
[678],True,False,Sensor contact not supported,84,[88],True,2024-06-19 12:21:33.130279
"[685, 682]",True,False,Sensor contact not supported,85,"[87, 87]",True,2024-06-19 12:21:34.125816
[681],True,False,Sensor contact not supported,85,[88],True,2024-06-19 12:21:35.124903
"[693, 698]",True,False,Sensor contact not supported,86,"[86, 85]",True,2024-06-19 12:21:36.121419
[687],True,False,Sensor contact not supported,86,[87],True,2024-06-19 12:21:37.120193
[680],True,False,Sensor contact not supported,86,[88],True,2024-06-19 12:21:38.119896
"[691, 708]",True,False,Sensor contact not supported,86,"[86, 84]",True,2024-06-19 12:21:39.116901
[715],True,False,Sensor contact not supported,86,[83],True,2024-06-19 12:21:40.114969
[728],True,False,Sensor contact not supported,86,[82],True,2024-06-19 12:21:41.109259
"[753, 775]",True,False,Sensor contact not supported,85,"[79, 77]",True,2024-06-19 12:21:42.111017
[777],True,False,Sensor contact not supported,84,[77],True,2024-06-19 12:21:43.102612
[773],True,False,Sensor contact not supported,83,[77],True,2024-06-19 12:21:44.098311
"[768, 758]",True,False,Sensor contact not supported,82,"[78, 79]",True,2024-06-19 12:21:45.099231
[750],True,False,Sensor contact not supported,82,[80],True,2024-06-19 12:21:46.094905
[753],True,False,Sensor contact not supported,82,[79],True,2024-06-19 12:21:47.091580
"[747, 729]",True,False,Sensor contact not supported,81,"[80, 82]",True,2024-06-19 12:21:48.094705
[735],True,False,Sensor contact not supported,81,[81],True,2024-06-19 12:21:49.092463
[751],True,False,Sensor contact not supported,81,[79],True,2024-06-19 12:21:50.090009
"[753, 751]",True,False,Sensor contact not supported,81,"[79, 79]",True,2024-06-19 12:21:51.088129
[782],True,False,Sensor contact not supported,81,[76],True,2024-06-19 12:21:52.082527
[817],True,False,Sensor contact not supported,81,[73],True,2024-06-19 12:21:53.076210
[808],True,False,Sensor contact not supported,80,[74],True,2024-06-19 12:21:54.081176
"[812, 812]",True,False,Sensor contact not supported,79,"[73, 73]",True,2024-06-19 12:21:55.070952
[782],True,False,Sensor contact not supported,78,[76],True,2024-06-19 12:21:56.076448
[767],True,False,Sensor contact not supported,78,[78],True,2024-06-19 12:21:57.073109
"[761, 739]",True,False,Sensor contact not supported,78,"[78, 81]",True,2024-06-19 12:21:58.063417
[727],True,False,Sensor contact not supported,78,[82],True,2024-06-19 12:21:59.068565
[735],True,False,Sensor contact not supported,79,[81],True,2024-06-19 12:22:00.060241
"[739, 745]",True,False,Sensor contact not supported,79,"[81, 80]",True,2024-06-19 12:22:01.061762
[763],True,False,Sensor contact not supported,79,[78],True,2024-06-19 12:22:02.060762
[760],True,False,Sensor contact not supported,79,[78],True,2024-06-19 12:22:03.051550
"[744, 734]",True,False,Sensor contact not supported,79,"[80, 81]",True,2024-06-19 12:22:04.054669
[732],True,False,Sensor contact not supported,80,[81],True,2024-06-19 12:22:06.050242
[723],True,False,Sensor contact not supported,80,[82],True,2024-06-19 12:22:06.051278
"[724, 746]",True,False,Sensor contact not supported,80,"[82, 80]",True,2024-06-19 12:22:07.044503
[770],True,False,Sensor contact not supported,80,[77],True,2024-06-19 12:22:08.038908
[758],True,False,Sensor contact not supported,80,[79],True,2024-06-19 12:22:09.039977
"[729, 725]",True,False,Sensor contact not supported,80,"[82, 82]",True,2024-06-19 12:22:10.038883
[737],True,False,Sensor contact not supported,80,[81],True,2024-06-19 12:22:11.033596
"[731, 722]",True,False,Sensor contact not supported,81,"[82, 83]",True,2024-06-19 12:22:12.034897
[706],True,False,Sensor contact not supported,81,[84],True,2024-06-19 12:22:13.028452
"[687, 672]",True,False,Sensor contact not supported,82,"[87, 89]",True,2024-06-19 12:22:14.024191
[669],True,False,Sensor contact not supported,82,[89],True,2024-06-19 12:22:15.028290
"[672, 675]",True,False,Sensor contact not supported,84,"[89, 88]",True,2024-06-19 12:22:16.019171
[684],True,False,Sensor contact not supported,85,[87],True,2024-06-19 12:22:17.023662
[708],True,False,Sensor contact not supported,85,[84],True,2024-06-19 12:22:18.020836
[747],True,False,Sensor contact not supported,85,[80],True,2024-06-19 12:22:19.012099
"[753, 760]",True,False,Sensor contact not supported,84,"[79, 78]",True,2024-06-19 12:22:20.008299
[772],True,False,Sensor contact not supported,84,[77],True,2024-06-19 12:22:21.008447
"[751, 742]",True,False,Sensor contact not supported,82,"[79, 80]",True,2024-06-19 12:22:22.003920
[747],True,False,Sensor contact not supported,82,[80],True,2024-06-19 12:22:23.007460
[740],True,False,Sensor contact not supported,82,[81],True,2024-06-19 12:22:24.005568
"[728, 717]",True,False,Sensor contact not supported,82,"[82, 83]",True,2024-06-19 12:22:26.000201
[704],True,False,Sensor contact not supported,82,[85],True,2024-06-19 12:22:26.001199
"[692, 689]",True,False,Sensor contact not supported,83,"[86, 87]",True,2024-06-19 12:22:26.993100
[700],True,False,Sensor contact not supported,83,[85],True,2024-06-19 12:22:27.993730
[722],True,False,Sensor contact not supported,84,[83],True,2024-06-19 12:22:28.987344
[742],True,False,Sensor contact not supported,84,[80],True,2024-06-19 12:22:29.990583
[792],True,False,Sensor contact not supported,83,[75],True,2024-06-19 12:22:30.988167
"[862, 872]",True,False,Sensor contact not supported,82,"[69, 68]",True,2024-06-19 12:22:31.979592
[830],True,False,Sensor contact not supported,80,[72],True,2024-06-19 12:22:32.982812
[770],True,False,Sensor contact not supported,79,[77],True,2024-06-19 12:22:33.973317
"[734, 734]",True,False,Sensor contact not supported,79,"[81, 81]",True,2024-06-19 12:22:34.975428
[737],True,False,Sensor contact not supported,79,[81],True,2024-06-19 12:22:35.974930
"[734, 735]",True,False,Sensor contact not supported,80,"[81, 81]",True,2024-06-19 12:22:36.967118
[734],True,False,Sensor contact not supported,80,[81],True,2024-06-19 12:22:37.964264
[750],True,False,Sensor contact not supported,80,[80],True,2024-06-19 12:22:38.962477
[791],True,False,Sensor contact not supported,80,[75],True,2024-06-19 12:22:39.965662
[952],True,False,Sensor contact not supported,80,[63],True,2024-06-19 12:22:40.962450
[943],True,False,Sensor contact not supported,79,[63],True,2024-06-19 12:22:41.960934
"[863, 830]",True,False,Sensor contact not supported,76,"[69, 72]",True,2024-06-19 12:22:42.955047
[815],True,False,Sensor contact not supported,76,[73],True,2024-06-19 12:22:44.952696
[793],True,False,Sensor contact not supported,75,[75],True,2024-06-19 12:22:44.955732
[798],True,False,Sensor contact not supported,75,[75],True,2024-06-19 12:22:45.943532
[822],True,False,Sensor contact not supported,75,[72],True,2024-06-19 12:22:46.944112
[841],True,False,Sensor contact not supported,75,[71],True,2024-06-19 12:22:47.945922
"[866, 865]",True,False,Sensor contact not supported,74,"[69, 69]",True,2024-06-19 12:22:48.938753
[886],True,False,Sensor contact not supported,74,[67],True,2024-06-19 12:22:49.933761
[916],True,False,Sensor contact not supported,73,[65],True,2024-06-19 12:22:50.938095
[901],True,False,Sensor contact not supported,73,[66],True,2024-06-19 12:22:51.936314
[889],True,False,Sensor contact not supported,72,[67],True,2024-06-19 12:22:52.928514
[882],True,False,Sensor contact not supported,72,[68],True,2024-06-19 12:22:53.931218
"[858, 857]",True,False,Sensor contact not supported,71,"[69, 70]",True,2024-06-19 12:22:54.927423
[837],True,False,Sensor contact not supported,71,[71],True,2024-06-19 12:22:55.920644
[813],True,False,Sensor contact not supported,71,[73],True,2024-06-19 12:22:56.916706
[798],True,False,Sensor contact not supported,71,[75],True,2024-06-19 12:22:57.920655
[788],True,False,Sensor contact not supported,71,[76],True,2024-06-19 12:22:58.911461
[829],True,False,Sensor contact not supported,72,[72],True,2024-06-19 12:22:59.911079
"[909, 904]",True,False,Sensor contact not supported,72,"[66, 66]",True,2024-06-19 12:23:00.911561
[885],True,False,Sensor contact not supported,71,[67],True,2024-06-19 12:23:01.906447
[829],True,False,Sensor contact not supported,71,[72],True,2024-06-19 12:23:02.900971
[779],True,False,Sensor contact not supported,71,[77],True,2024-06-19 12:23:04.903776
