sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[179],180,2024-06-19 15:24:15.535341,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:15.865512,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:16.195714,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:16.525727,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:16.886163,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:17.245687,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:17.530270,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:17.861135,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:18.235307,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:18.550696,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:18.911166,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:19.195677,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:19.525221,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:19.871058,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:20.200361,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:20.530323,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:20.860509,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:21.191044,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:21.535364,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:21.865690,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:22.195399,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:22.525298,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:22.916033,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:23.215550,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:23.575310,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:24:23.860542,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:24.235754,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:24.535603,[334],True,True,False
Sensor contact not supported,[183],181,2024-06-19 15:24:24.865631,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:25.196046,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:25.525546,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:25.855680,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:26.200856,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:26.575859,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:26.860451,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:27.235706,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:27.535241,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:27.866489,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:28.195962,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:28.525256,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:28.885548,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:29.246107,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:29.530884,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:29.861181,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:30.235184,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:30.535982,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:30.865824,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:31.196779,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:31.526155,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:31.870459,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:32.215290,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:32.575294,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:32.860771,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:33.251152,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:24:33.535765,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:24:33.881068,[327],True,True,False
