timestamp_received,hr,sensor_contact,rr,ee_status,rr_interval,rr_hr,hrv_uint8
2024-07-11 16:03:00.231724,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:00.636492,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:00.996548,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:01.356752,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:01.686731,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:02.091796,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:02.450927,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:02.811331,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:03.125831,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:03.531057,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:03.891552,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:04.251516,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:04.611825,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:04.941591,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:05.301254,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:05.706907,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:06.066232,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:06.433067,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:06.786496,165,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:07.116704,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:07.521232,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:07.881727,165,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:08.241672,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:08.601534,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:08.961671,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:09.291685,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:09.651702,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:09.996466,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:10.416460,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:10.776499,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:11.136656,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:11.496523,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:11.856337,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:12.216479,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:12.546430,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:12.951736,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:13.311164,166,Sensor contact not supported,[358],False,True,[167],True
