ee_status,hrv_uint8,sensor_contact,hr,rr_hr,rr_interval,rr,timestamp_received
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:34.492575
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:35.511850
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:36.502203
False,True,Contact detected,120,"[123, 122]",True,"[485, 488]",2024-08-13 14:24:37.492557
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:38.511831
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:39.502229
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:40.491624
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:41.511859
False,True,Contact detected,120,"[123, 122, 122]",True,"[485, 488, 488]",2024-08-13 14:24:42.502210
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:43.522484
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:44.511838
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:45.502191
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:46.492585
False,True,Contact detected,120,"[123, 122]",True,"[485, 488]",2024-08-13 14:24:47.511819
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:48.502172
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:49.491567
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:50.511800
False,True,Contact detected,120,"[123, 122]",True,"[485, 488]",2024-08-13 14:24:51.502153
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:52.492546
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:53.511780
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:54.502134
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:55.492529
False,True,Contact detected,120,"[123, 122, 122]",True,"[485, 488, 488]",2024-08-13 14:24:56.511772
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:57.502117
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:58.493005
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:59.512800
False,True,Contact detected,120,[123],True,[485],2024-08-13 14:25:00.502879
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:25:01.492585
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:25:02.512033
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:25:03.503001
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:25:04.492898
False,True,Contact detected,120,"[123, 122]",True,"[485, 488]",2024-08-13 14:25:05.513037
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:25:06.502947
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:25:07.808469
False,True,Contact detected,120,,False,,2024-08-13 14:25:08.512947
False,True,Contact detected,120,,False,,2024-08-13 14:25:09.502503
