rr,ee_status,sensor_contact,rr_hr,timestamp_received,hrv_uint8,hr,rr_interval
[530],False,Sensor contact not supported,[113],2024-06-19 15:51:43.004600,True,107,True
[530],False,Sensor contact not supported,[113],2024-06-19 15:51:43.529173,True,109,True
[522],False,Sensor contact not supported,[114],2024-06-19 15:51:44.054683,True,110,True
[514],False,Sensor contact not supported,[116],2024-06-19 15:51:44.564659,True,112,True
[514],False,Sensor contact not supported,[116],2024-06-19 15:51:45.073999,True,113,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:51:45.584812,True,115,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:51:46.093883,True,116,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:51:46.574479,True,118,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:51:47.069473,True,119,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:51:47.609840,True,120,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:51:48.059424,True,121,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:51:48.524617,True,122,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:51:49.003993,True,123,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:51:49.484761,True,124,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:51:49.949653,True,125,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:51:50.414480,True,126,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:51:50.879658,True,126,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:51:51.343987,True,128,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:51:51.809697,True,128,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:51:52.289243,True,127,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:51:52.768912,True,127,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:51:53.249294,True,126,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:51:53.789276,True,125,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:51:54.254635,True,124,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:51:54.719502,True,123,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:51:55.229434,True,122,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:51:55.784093,True,121,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:51:56.249630,True,120,True
[514],False,Sensor contact not supported,[116],2024-06-19 15:51:56.758801,True,119,True
[522],False,Sensor contact not supported,[114],2024-06-19 15:51:57.284029,True,117,True
[530],False,Sensor contact not supported,[113],2024-06-19 15:51:57.853914,True,116,True
[530],False,Sensor contact not supported,[113],2024-06-19 15:51:58.394337,True,115,True
[538],False,Sensor contact not supported,[111],2024-06-19 15:51:58.933843,True,114,True
[538],False,Sensor contact not supported,[111],2024-06-19 15:51:59.474682,True,113,True
[545],False,Sensor contact not supported,[110],2024-06-19 15:52:00.014678,True,112,True
[553],False,Sensor contact not supported,[108],2024-06-19 15:52:00.524307,True,111,True
[561],False,Sensor contact not supported,[106],2024-06-19 15:52:01.094032,True,109,True
[561],False,Sensor contact not supported,[106],2024-06-19 15:52:01.649678,True,108,True
[545],False,Sensor contact not supported,[110],2024-06-19 15:52:02.249505,True,109,True
[545],False,Sensor contact not supported,[110],2024-06-19 15:52:02.744350,True,109,True
[538],False,Sensor contact not supported,[111],2024-06-19 15:52:03.283910,True,110,True
[530],False,Sensor contact not supported,[113],2024-06-19 15:52:03.809242,True,110,True
[522],False,Sensor contact not supported,[114],2024-06-19 15:52:04.378949,True,112,True
[514],False,Sensor contact not supported,[116],2024-06-19 15:52:04.858832,True,113,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:52:05.429290,True,114,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:52:05.879517,True,115,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:52:06.419093,True,117,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:52:06.914458,True,118,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:52:07.424317,True,119,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:07.859725,True,120,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:08.338794,True,121,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:08.818950,True,122,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:09.299254,True,123,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:52:09.809082,True,124,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:10.244428,True,125,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:52:10.739792,True,126,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:52:11.174327,True,127,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:52:11.669225,True,128,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:52:12.089698,True,128,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:12.598966,True,130,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:13.004215,True,130,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:13.499486,True,131,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:13.949187,True,131,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:52:14.414471,True,132,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:52:14.789499,True,133,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:52:15.284375,True,133,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:15.734441,True,134,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:52:16.124343,True,134,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:16.559266,True,135,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:16.994030,True,136,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:17.429064,True,136,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:17.864015,True,137,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:18.313719,True,138,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:18.734514,True,137,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:19.154620,True,138,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:52:19.589775,True,139,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:20.023969,True,139,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:20.444216,True,139,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:52:20.864005,True,140,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:52:21.299703,True,141,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:52:21.719601,True,141,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:22.138822,True,141,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:52:22.559330,True,141,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:52:22.994048,True,141,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:23.429482,True,139,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:23.864502,True,139,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:52:24.358826,True,138,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:52:24.749009,True,137,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:25.244631,True,136,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:25.693949,True,134,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:52:26.113972,True,134,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:52:26.578872,True,133,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:52:27.074499,True,131,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:52:27.509670,True,130,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:27.974464,True,129,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:28.454034,True,128,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:28.949043,True,127,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:29.429241,True,126,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:52:29.968921,True,124,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:52:30.464037,True,123,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:52:30.929046,True,122,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:52:31.469554,True,121,True
[514],False,Sensor contact not supported,[116],2024-06-19 15:52:31.934662,True,119,True
[514],False,Sensor contact not supported,[116],2024-06-19 15:52:32.459326,True,118,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:52:32.969199,True,118,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:52:33.479525,True,118,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:52:34.019506,True,119,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:52:34.514343,True,119,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:52:35.008765,True,120,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:35.444240,True,121,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:52:35.924533,True,122,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:36.404539,True,123,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:36.884071,True,124,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:52:37.349264,True,124,True
